movie_id,directorID
19995,2710
285,1704
206647,39
49026,525
49529,7
559,7623
38757,76595
99861,12891
767,11343
209112,15217
1452,9032
10764,12995
58,1704
57201,1704
49521,15217
2454,5524
24428,12891
1865,17633
41154,5174
122917,108
1930,87742
20662,578
57158,108
2268,3288
254,108
597,2710
271110,19271
44833,36602
135397,930707
37724,39
558,7623
68721,1108
12155,510
36668,11091
62211,225976
8373,865
91314,865
68728,7623
102382,87742
20526,86270
49013,7879
44912,10702
10193,8
534,36425
168259,2127
72190,12995
127585,9032
54138,15344
81005,9032
64682,6201
9543,10723
68726,10828
38356,865
217,488
105864,21198
62177,59803
188927,58189
10681,7
5174,11091
14161,6046
17979,24
76757,9339
258489,11343
411,5524
246655,9032
155,525
14160,10
15512,12080
1726,15277
44826,1032
8487,5174
1735,18878
297761,19769
2698,4499
137113,11694
9804,8300
14869,7775
150540,7980
278927,15277
10138,15277
58595,228134
102651,1032536
119450,32278
79698,8965
64686,239571
100402,19271
10192,64151
158852,7087
177572,70238
82690,165787
5255,24
47933,6046
10191,66193
296,7213
118340,15218
157336,525
27205,525
315011,77921
49051,108
9799,18878
4922,7467
49538,957
131634,10943
27022,12962
503,5231
241259,26205
810,12098
68735,81850
87101,47005
10140,10781
676,865
1858,865
1966,1152
675,11343
674,10723
8960,36602
6479,10943
118,510
2062,7930
272,525
10527,18863
18360,17825
2080,13079
605,9339
109445,15774
604,9339
76338,47005
76341,20629
13448,6159
10195,11181
13053,630
19585,84851
57165,66739
62213,510
177677,9033
7978,4945
5559,44113
49444,142312
10196,11614
956,15344
117251,6046
50321,21879
11619,33183
266647,36588
82703,18898
652,5231
80321,12080
36669,7256
43074,116805
95,865
608,5174
2310,24
140300,142312
56292,7087
81188,151007
7552,15002
616,9181
147441,578
13475,15344
557,7623
82702,69797
205584,21085
10048,18878
13183,15217
944,7187
1927,1614
72559,54507
7364,40749
2114,21692
1771,4945
36643,10781
8619,2690
50620,15557
65759,20629
1724,18865
267935,488
281957,223
77950,94075
44896,1704
270946,18863
2503,25598
9502,57741
102899,59026
101299,10943
228161,52870
74,488
8961,865
417859,12098
27576,13015
86834,6431
17578,488
673,11218
6972,6201
82700,11614
10567,65855
181533,10956
38055,18864
671,10965
49524,57270
22,1704
